Kanji,Kanji_Core_Meaning,Word,Word_Reading,English_Meaning,Connection_Type,Figurative_Note,Position_in_Deck
合,"fit, suit",都合,つごう,circumstances,figurative,"capital/all + fit/join → doesn't map directly → circumstances, convenience",714
合,"fit, suit",結合,けつごう,"combination, joining",direct,,1015
車,car,車,くるま,"car, automobile",direct,,145
車,car,電車,でんしゃ,train,direct,,146
車,car,自転車,じてんしゃ,bicycle,direct,,286
車,car,車,くるま,car,direct,,570
車,car,車道,しゃどう,"road, roadway (for vehicles)",direct,,577
車,car,発車,はっしゃ,"depart, leave (for vehicles)",direct,,935
車,car,自動車,じどうしゃ,automobile,direct,,1021
車,car,救急車,きゅうきゅうしゃ,ambulance,direct,,1215
車,car,停車,ていしゃ,"a stop (train), stopping",direct,,1288
車,car,駐車場,ちゅうしゃじょう,parking area,direct,,1527
車,car,消防車,しょうぼうしゃ,fire truck,direct,,1552
電,electricity,電車,でんしゃ,train,direct,,146
電,electricity,電話,でんわ,"telephone, phone call",direct,,568
電,electricity,電気,でんき,"electricity, electric light",direct,,569
電,electricity,電池,でんち,"electric cell, battery",direct,,1231
電,electricity,電話帳,でんわちょう,telephone book,direct,,1637
駅,station,駅,えき,railway station,direct,,147
駅,station,駅員,えきいん,station attendant,direct,,571
道,"road-way, street",道,みち,"way, road, street",direct,,148
道,"road-way, street",水道,すいどう,"tap water, water supply",direct,,576
道,"road-way, street",車道,しゃどう,"road, roadway (for vehicles)",direct,,577
道,"road-way, street",道路,どうろ,"road, street",direct,,579
道,"road-way, street",歩道,ほどう,"sidewalk, footpath",direct,,585
道,"road-way, street",横断歩道,おうだんほどう,crosswalk,direct,,1298
道,"road-way, street",片道,かたみち,one-way,direct,,1333
道,"road-way, street",柔道,じゅうどう,judo,direct,,1538
他,"other, another",他,ほか,other,direct,,149
他,"other, another",他,た,"others, other things",direct,,1834
止,"stop, halt",止める,やめる,"stop, give up, abolish",direct,,150
止,"stop, halt",止める,とめる,"stop (sth), turn off",direct,,582
止,"stop, halt",止まる,とまる,"come to a stop, cease",direct,,583
止,"stop, halt",止む,やむ,"<!--anki-->cease, stop,&nbsp;let up",direct,,584
歩,"walk, counter for steps",歩く,あるく,"walk, go on foot",direct,,152
歩,"walk, counter for steps",歩道,ほどう,"sidewalk, footpath",direct,,585
歩,"walk, counter for steps",横断歩道,おうだんほどう,crosswalk,direct,,1298
歩,"walk, counter for steps",散歩,さんぽ,"walk, stroll",direct,,1467
走,run,走る,はしる,run,direct,,153
近,"near, early",近く,ちかく,"near, close to",direct,,154
近,"near, early",近い,ちかい,"near, close",direct,,155
近,"near, early",近く,ちかく,"vicinity, nearby",direct,,156
近,"near, early",最近,さいきん,"lately, recent",direct,,593
近,"near, early",近所,きんじょ,neighborhood,direct,,703
近,"near, early",近付く,ちかづく,"approach, get acquainted",direct,,1359
遠,"distant, far",遠い,とおい,"far, distant",direct,,157
遠,"distant, far",遠く,とおく,great distance,direct,,594
遠,"distant, far",遠慮,えんりょ,"reserve, hesitation, forethought",figurative,"distant + consider → thinking from a distance → restraint, reserve",1732
長,"long, leader",長い,ながい,long,direct,,158
長,"long, leader",社長,しゃちょう,president (of a company),direct,,595
長,"long, leader",会長,かいちょう,"chairman, president",direct,,596
長,"long, leader",長さ,ながさ,length,direct,,597
長,"long, leader",長男,ちょうなん,eldest son,direct,,598
長,"long, leader",長女,ちょうじょ,eldest daughter,direct,,599
長,"long, leader",校長,こうちょう,principal,direct,,758
長,"long, leader",長袖,ながそで,clothes with long sleeves,direct,,1752
短,"short, brevity",短い,みじかい,"short, brief",direct,,159
広,"wide, broad",広い,ひろい,"wide, big",direct,,160
広,"wide, broad",広がる,ひろがる,"spread out, reach が",direct,,600
広,"wide, broad",広さ,ひろさ,"area, extent",direct,,601
全,"whole, entire",全部,ぜんぶ,"all, wholly",direct,,162
全,"whole, entire",全体,ぜんたい,"whole, total",direct,,602
全,"whole, entire",全く,まったく,"entirely, truly, indeed",direct,,603
全,"whole, entire",安全,あんぜん,"safety, security",direct,,604
全,"whole, entire",全国,ぜんこく,the whole country,direct,,609
全,"whole, entire",全然,ぜんぜん,"(not) at all, totally (not)",direct,,795
部,"section, bureau",全部,ぜんぶ,"all, wholly",direct,,162
部,"section, bureau",部屋,へや,room,direct,,166
部,"section, bureau",一部,いちぶ,part,direct,,605
部,"section, bureau",部分,ぶぶん,"part, section",direct,,606
国,country,国,くに,country,direct,,163
国,country,国内,こくない,"domestic, internal",direct,,607
国,country,全国,ぜんこく,the whole country,direct,,609
国,country,外国,がいこく,foreign country,direct,,610
国,country,国会,こっかい,"National Diet, parliament",direct,,611
国,country,帰国,きこく,return to one's country,direct,,612
国,country,外国人,がいこくじん,foreigner (polite),direct,,613
国,country,外国語,がいこくご,foreign language,direct,,614
国,country,各国,かっこく,every country,direct,,711
国,country,国際,こくさい,international,direct,,1101
国,country,諸国,しょこく,various countries,direct,,1305
国,country,国籍,こくせき,"citizenship, nationality",direct,,1421
白,white,白い,しろい,"white, blank (for paper)",direct,,164
白,white,面白い,おもしろい,"interesting, amusing",figurative,face + white → a face brightened (by delight) → interesting,958
白,white,真っ白,まっしろ,pure-white,direct,,964
白,white,白,しろ,white,direct,,1840
赤,red,赤い,あかい,red,direct,,165
赤,red,赤ちゃん,あかちゃん,baby,direct,,618
赤,red,赤,あか,red,direct,,619
赤,red,真っ赤,まっか,deep red,direct,,962
屋,"roof, house",部屋,へや,room,direct,,166
屋,"roof, house",本屋,ほんや,"bookstore, bookseller",direct,,629
屋,"roof, house",八百屋,やおや,"vegetable store, greengrocer",direct,,630
屋,"roof, house",そば屋,そばや,soba restaurant,direct,,631
屋,"roof, house",たばこ屋,たばこや,"cigarette shop, tobacco store",direct,,632
屋,"roof, house",郵便屋さん,ゆうびんやさん,mailman,direct,,697
屋,"roof, house",不動産屋,ふどうさんや,"real estate agent, realtor",figurative,不動 (un-moving) property + shop,911
屋,"roof, house",屋根,やね,roof,direct,,1470
屋,"roof, house",床屋,とこや,"barber, barbershop",direct,,1687
屋,"roof, house",風呂屋,ふろや,"bathhouse, public bath",direct,,1721
米,"rice, usa",米,こめ,rice (grain),direct,,167
作,"make, production",作る,つくる,"make, create",direct,,170
作,"make, production",作文,さくぶん,"composition, essay",direct,,643
作,"make, production",作品,さくひん,"work of art, piece",direct,,654
作,"make, production",作業,さぎょう,"work, operation",direct,,807
使,"use, send on a mission",使う,つかう,use,direct,,171
使,"use, send on a mission",大使館,たいしかん,embassy,direct,,994
消,"extinguish, blow out",消す,けす,"erase, turn off",direct,,172
消,"extinguish, blow out",消える,きえる,"be extinguished, disappear",direct,,647
消,"extinguish, blow out",消しゴム,けしごむ,(rubber) eraser,direct,,648
消,"extinguish, blow out",消防車,しょうぼうしゃ,fire truck,direct,,1552
消,"extinguish, blow out",消防署,しょうぼうしょ,fire station,direct,,1679
売,sell,売る,うる,sell を,direct,,173
売,sell,売れる,うれる,"be sold, be in demand",direct,,649
売,sell,売り場,うりば,"sales floor, department",direct,,650
売,sell,売店,ばいてん,"kiosk, store",direct,,652
売,sell,販売,はんばい,"sale, selling",direct,,655
売,sell,売り切れる,うりきれる,"be sold out, go out of stock",direct,,848
売,sell,売り切れ,うりきれ,sold out,direct,,849
店,"store, shop",店,みせ,"shop, store",direct,,174
店,"store, shop",店員,てんいん,"clerk, salesperson",direct,,651
店,"store, shop",売店,ばいてん,"kiosk, store",direct,,652
店,"store, shop",喫茶店,きっさてん,"coffee shop, tea house, café",direct,,1585
春,"springtime, spring (season)",春,はる,spring,direct,,175
夏,summer,夏,なつ,summer,direct,,176
夏,summer,夏休み,なつやすみ,summer vacation,direct,,664
秋,autumn,秋,あき,"autumn, fall",direct,,177
冬,winter,冬,ふゆ,winter,direct,,178
冬,winter,冬休み,ふゆやすみ,winter vacation,direct,,665
暑,"sultry, hot",暑い,あつい,hot (temperature of the air),direct,,180
暑,"sultry, hot",暑さ,あつさ,"heat, summer heat",direct,,667
熱,"heat, temperature",熱い,あつい,"hot (things, touch)",direct,,181
熱,"heat, temperature",熱,ねつ,"fever, heat",direct,,668
寒,cold,寒い,さむい,cold (temperature of the air),direct,,182
寒,cold,寒さ,さむさ,"coldness, cold",direct,,669
暖,warmth,暖かい,あたたかい,warm,direct,,183
暖,warmth,暖める,あたためる,"warm up (something), heat up を",direct,,671
暖,warmth,暖まる,あたたまる, get warm が,direct,,672
暖,warmth,暖房,だんぼう,heating,direct,,1303
新,new,新しい,あたらしい,new,direct,,184
新,new,新聞,しんぶん,newspaper,direct,,682
新,new,新年,しんねん,New Year,direct,,683
新,new,新幹線,しんかんせん,"Shinkansen, Bullet Train",direct,,1459
古,old,古い,ふるい,old,direct,,185
良,"good, pleasing",良い,いい,good,direct,,186
良,"good, pleasing",良い,よい,good,direct,,684
悪,"bad, vice",悪い,わるい,bad,direct,,187
思,think,思う,おもう,think,direct,,188
思,think,思い出す,おもいだす,"recollect, recall",figurative,thought + comes out → a memory surfacing,687
思,think,思い出,おもいで,"recollections, memory",figurative,"same logic as 思い出す → a memory that has ""come out""",688
忘,forget,忘れる,わすれる,"forget, leave behind",direct,,190
忘,forget,忘れ物,わすれもの,"something left behind, lost item",direct,,721
考,"consider, think over",考える,かんがえる,"think, consider",direct,,191
考,"consider, think over",考え,かんがえ,"thought, view, idea",direct,,689
決,"decide, fix",決める,きめる,"decide, agree upon",direct,,192
決,"decide, fix",決まる,きまる,be decided,direct,,193
決,"decide, fix",解決,かいけつ,"solution, settlement",direct,,690
決,"decide, fix",決定,けってい,decision,direct,,858
知,"know, wisdom",知る,しる,"&nbsp;(get to) know, realize",direct,,194
知,"know, wisdom",知らせる,しらせる,"let know, inform",direct,,691
番,"turn, number in a series",一番,いちばん,most,direct,,195
番,"turn, number in a series",交番,こうばん,police box,direct,,699
番,"turn, number in a series",番地,ばんち,"house number, address",direct,,700
番,"turn, number in a series",番号,ばんごう,number,direct,,701
番,"turn, number in a series",番組,ばんぐみ,"program (TV, radio)",figurative,turn/number + group/set → doesn't map directly → (TV/radio) program,1166
住,"dwell, reside",住む,すむ,"live, reside",direct,,196
住,"dwell, reside",住所,じゅうしょ,"address, one's dwelling",direct,,705
住,"dwell, reside",住民,じゅうみん,"residents, inhabitants",direct,,1032
住,"dwell, reside",住宅,じゅうたく,"housing, residence",direct,,1321
名,"name, noted",名前,なまえ,name,direct,,197
名,"name, noted",片仮名,かたかな,katakana,direct,,349
名,"name, noted",平仮名,ひらがな,hiragana,direct,,350
名,"name, noted",有名,ゆうめい,famous,direct,,707
名,"name, noted",名字,みょうじ,"surname, family name",direct,,709
名,"name, noted",氏名,しめい,full name,direct,,710
名,"name, noted",仮名,かな,"kana, Japanese syllabary",direct,,1500
名,"name, noted",送り仮名,おくりがな,kana suffix,direct,,1501
物,"thing, object",食べ物,たべもの,food,direct,,198
物,"thing, object",飲み物,のみもの,"beverage, drink",direct,,200
物,"thing, object",買い物,かいもの,"shopping, purchase",direct,,716
物,"thing, object",荷物,にもつ,"baggage, package",direct,,717
物,"thing, object",品物,しなもの,"article, thing",direct,,718
物,"thing, object",見物,けんぶつ,"sightseeing, looking around",direct,,719
物,"thing, object",物,もの,"thing, object",direct,,720
物,"thing, object",忘れ物,わすれもの,"something left behind, lost item",direct,,721
物,"thing, object",乗り物,のりもの,"vehicle, means of transportation",direct,,879
物,"thing, object",着物,きもの,"kimono, clothes",direct,,884
物,"thing, object",動物,どうぶつ,animal,direct,,909
物,"thing, object",果物,くだもの,fruit,direct,,1017
物,"thing, object",動物園,どうぶつえん,zoo,direct,,1099
物,"thing, object",建物,たてもの,"building, structure",direct,,1279
物,"thing, object",贈り物,おくりもの,"present, gift (和語)",direct,,1444
物,"thing, object",博物館,はくぶつかん,museum,direct,,1509
重,"heavy, important",重い,おもい,"heavy, serious (illness)",direct,,201
重,"heavy, important",重さ,おもさ,weight,direct,,722
重,"heavy, important",重要,じゅうよう,"important, essential",direct,,818
軽,"lightly, trifling",軽い,かるい,"light, light weight",direct,,202
送,"escort, send",送る,おくる,send,direct,,203
送,"escort, send",見送る,みおくる,see (someone) off,direct,,726
送,"escort, send",見送り,みおくり,seeing someone off,direct,,727
送,"escort, send",放送,ほうそう,broadcasting,direct,,1498
送,"escort, send",送り仮名,おくりがな,kana suffix,direct,,1501
取,"take, fetch",取る,とる,"take, get",direct,,204
取,"take, fetch",受け取る,うけとる,"get (st from so), receive<div>take (as in take as an insult)</div>",direct,,729
取,"take, fetch",取れる,とれる,"come off, be removed",direct,,730
取,"take, fetch",書き取る,かきとる,"write down, note down",direct,,731
取,"take, fetch",取引,とりひき,"transaction, dealings",direct,,768
待,"wait, depend on",待つ,まつ,"wait, wait for",direct,,205
待,"wait, depend on",期待,きたい,"expectation, anticipation",direct,,837
待,"wait, depend on",招待,しょうたい,invitation,direct,,1413
持,"hold, have",持つ,もつ,"have, possess",direct,,206
持,"hold, have",気持ち,きもち,"feeling (about something, emotion)",figurative,"気 (spirit/energy) + 持つ (hold) → ""holding a feeling""",207
持,"hold, have",持つ,もつ,"last long, keep well",direct,,734
持,"hold, have",金持ち,かねもち,wealthy person,direct,,735
持,"hold, have",持って行く,もっていく,take (somewhere),direct,,736
持,"hold, have",持って来る,もってくる,bring (something),direct,,738
生,"life, genuine",生きる,いきる,live (one's life),direct,,208
生,"life, genuine",先生,せんせい,teacher (respectful title),direct,,210
生,"life, genuine",学生,がくせい,student,direct,,212
生,"life, genuine",大学生,だいがくせい,university student,direct,,213
生,"life, genuine",高校生,こうこうせい,high school student,direct,,215
生,"life, genuine",留学生,りゅうがくせい,student studying abroad,direct,,322
生,"life, genuine",なる (生る),なる,"produce fruit, grow (on a tree)",direct,,373
生,"life, genuine",生まれる,うまれる,"be born, come into existence",direct,,741
生,"life, genuine",生む,うむ,give birth,direct,,742
生,"life, genuine",生産,せいさん,production,direct,,744
生,"life, genuine",生活,せいかつ,"life, living",direct,,747
生,"life, genuine",生徒,せいと,"pupil, student",direct,,748
生,"life, genuine",中学生,ちゅうがくせい,middle school sudent,direct,,751
生,"life, genuine",小学生,しょうがくせい,elementary school student,direct,,752
生,"life, genuine",発生,はっせい,"occurrence, happening",direct,,931
生,"life, genuine",誕生日,たんじょうび,birthday,direct,,1425
生,"life, genuine",一生懸命,いっしょうけんめい,"as hard as one can, with all one's might",figurative,one life + risking → as if risking one's whole life → with all one's might,1588
学,"study, learning",大学,だいがく,"university, college",direct,,211
学,"study, learning",学生,がくせい,student,direct,,212
学,"study, learning",大学生,だいがくせい,university student,direct,,213
学,"study, learning",学校,がっこう,school,direct,,214
学,"study, learning",留学生,りゅうがくせい,student studying abroad,direct,,322
学,"study, learning",中学,ちゅうがく,middle school (abbrev.),direct,,749
学,"study, learning",入学,にゅうがく,"admission to a school, starting school",direct,,750
学,"study, learning",中学生,ちゅうがくせい,middle school sudent,direct,,751
学,"study, learning",小学生,しょうがくせい,elementary school student,direct,,752
学,"study, learning",見学,けんがく,field trip,direct,,753
学,"study, learning",通学,つうがく,going to school,direct,,754
学,"study, learning",小学校,しょうがっこう,elementary school,direct,,756
学,"study, learning",中学校,ちゅうがっこう,middle school,direct,,757
学,"study, learning",数学,すうがく,mathematics,direct,,784
学,"study, learning",高等学校,こうとうがっこう,senior high school,direct,,1051
学,"study, learning",大学院,だいがくいん,graduate school,direct,,1054
学,"study, learning",科学,かがく,science,direct,,1060
学,"study, learning",進学,しんがく,entering the next level of school,direct,,1171
学,"study, learning",留学,りゅうがく,studying abroad,direct,,1315
校,"exam, school",学校,がっこう,school,direct,,214
校,"exam, school",高校生,こうこうせい,high school student,direct,,215
校,"exam, school",高校,こうこう,high school,direct,,755
校,"exam, school",小学校,しょうがっこう,elementary school,direct,,756
校,"exam, school",中学校,ちゅうがっこう,middle school,direct,,757
校,"exam, school",校長,こうちょう,principal,direct,,758
校,"exam, school",休校,きゅうこう,temporary school closure,direct,,760
校,"exam, school",高等学校,こうとうがっこう,senior high school,direct,,1051
教,"teach, faith",教える,おしえる,"teach, tell",direct,,216
教,"teach, faith",教会,きょうかい,church,direct,,761
教,"teach, faith",教育,きょういく,education,direct,,762
教,"teach, faith",教室,きょうしつ,"classroom, class",direct,,1001
教,"teach, faith",教科書,きょうかしょ,"textbook, schoolbook",direct,,1061
教,"teach, faith",教師,きょうし,"teacher, instructor",direct,,1515
教,"teach, faith",教授,きょうじゅ,professor,direct,,1516
勉,"exertion, endeavour",勉強,べんきょう,study,direct,,217
強,strong,勉強,べんきょう,study,direct,,217
強,strong,強い,つよい,strong,direct,,218
強,strong,強さ,つよさ,"strength, power",direct,,767
強,strong,強化,きょうか,strengthening,direct,,873
強,strong,強調,きょうちょう,"emphasis, stress",direct,,1126
弱,"weak, frail",弱い,よわい,weak,direct,,220
引,"pull, tug",引く,ひく,"pull, draw",direct,,221
引,"pull, tug",取引,とりひき,"transaction, dealings",direct,,768
引,"pull, tug",引き出し,ひきだし,"drawer, withdrawal",direct,,770
引,"pull, tug",引き算,ひきざん,subtraction,direct,,823
引,"pull, tug",引っ越す,ひっこす,move (houses),direct,,1391
引,"pull, tug",引っ越し,ひっこし,moving (houses),direct,,1393
引,"pull, tug",引っ張る,ひっぱる,"pull, drag",direct,,1542
問,"question, ask",質問,しつもん,question,direct,,222
問,"question, ask",問題,もんだい,"problem, question",direct,,780
質,"substance, quality",質問,しつもん,question,direct,,222
難,"difficult, impossible",難しい,むずかしい,difficult,direct,,223
数,"number, strength",数,かず,(the) number,direct,,224
数,"number, strength",数字,すうじ,"figure, numeral",direct,,783
数,"number, strength",数学,すうがく,mathematics,direct,,784
数,"number, strength",数える,かぞえる,to count,direct,,785
勝,"victory, win",勝つ,かつ,win,direct,,225
負,"defeat, negative",負ける,まける,"lose, be defeated",direct,,226
当,"hit, right",本当に,ほんとうに,"really, truly",direct,,227
当,"hit, right",担当,たんとう,in charge (of something),direct,,790
当,"hit, right",当たる,あたる,"hit, strike",direct,,791
当,"hit, right",当時,とうじ,at that time,direct,,792
当,"hit, right",本当,ほんとう,"truth, reality, genuine",direct,,793
当,"hit, right",当然,とうぜん,"naturally, of course",direct,,794
当,"hit, right",弁当,べんとう,"box lunch, picnic lunch",figurative,"弁 core meaning ""valve/discern/speech"" doesn't map to ""lunch box"" without the older sense of ""convenient""",1433
当,"hit, right",突き当たる,つきあたる,"come to the end of (street), run into (st)",direct,,1543
当,"hit, right",突き当たり,つきあたり,end of a street,direct,,1544
要,"need, main point",要る,いる,"need, require",direct,,228
要,"need, main point",必要,ひつよう,"need, necessity",direct,,817
要,"need, main point",重要,じゅうよう,"important, essential",direct,,818
要,"need, main point",要求,ようきゅう,"requirement, demand",direct,,819
計,"plot, plan",時計,とけい,"clock, watch",direct,,229
計,"plot, plan",目覚まし時計,めざましどけい,alarm clock,direct,,820
計,"plot, plan",計算,けいさん,calculation,direct,,822
計,"plot, plan",計画,けいかく,"plan, project",direct,,955
計,"plot, plan",設計,せっけい,"design, plan",direct,,1091
計,"plot, plan",腕時計,うでどけい,wrist watch,direct,,1615
払,"pay, clear out",払う,はらう,pay,direct,,230
払,"pay, clear out",酔っ払い,よっぱらい,drunk person,direct,,1067
払,"pay, clear out",酔っ払う,よっぱらう,get drunk,direct,,1068
切,"cut, cutoff",切る,きる,cut,direct,,231
切,"cut, cutoff",切れる,きれる,"run out, expire",direct,,846
切,"cut, cutoff",切手,きって,postage stamp,figurative,cut + hand → historically a cut receipt/token → postage stamp,847
切,"cut, cutoff",売り切れる,うりきれる,"be sold out, go out of stock",direct,,848
切,"cut, cutoff",売り切れ,うりきれ,sold out,direct,,849
切,"cut, cutoff",大切,たいせつ,"important, valuable",figurative,"big + cut → cutting deep, vital → important",850
切,"cut, cutoff",切符,きっぷ,ticket,figurative,cut + tally/tag → a cut token → ticket,851
切,"cut, cutoff",親切,しんせつ,"kind, friendly",direct,,1005
切,"cut, cutoff",不親切,ふしんせつ,"unkind, inattentive",direct,,1006
切,"cut, cutoff",踏切,ふみきり,railroad crossing,direct,,1705
変,"unusual, change",変える,かえる,to change (st),direct,,232
変,"unusual, change",変わる,かわる,change が,direct,,868
変,"unusual, change",大変,たいへん,"awful, serious",figurative,"big + change → a big change → serious, awful",870
変,"unusual, change",変,へん,"strange, weird, funny",direct,,871
変,"unusual, change",変化,へんか,change,direct,,872
乗,"ride, power",乗る,のる,"ride, take",direct,,233
乗,"ride, power",乗り物,のりもの,"vehicle, means of transportation",direct,,879
乗,"ride, power",乗り換える,のりかえる,"change, transfer (trainなど)",direct,,1205
乗,"ride, power",乗り換え,のりかえ,"change (trainなど), transfer",direct,,1206
着,"don, arrive",着る,きる,"wear, put on",direct,,234
着,"don, arrive",着く,つく,"arrive, touch, take one's place",direct,,883
着,"don, arrive",着物,きもの,"kimono, clothes",direct,,884
着,"don, arrive",下着,したぎ,underwear,direct,,885
着,"don, arrive",上着,うわぎ,outerwear,direct,,886
着,"don, arrive",着せる,きせる,"dress (sb), put clothes on (sb)",direct,,887
着,"don, arrive",着替える,きがえる,change clothes,direct,,1209
立,"stand up, rise",立つ,たつ,"stand, rise",direct,,235
立,"stand up, rise",立場,たちば,"standpoint, position",figurative,"stand + place → an abstract ""standing place"" → position, standpoint",889
立,"stand up, rise",目立つ,めだつ,"stand out, be conspicuous",figurative,eye + stand → catches the eye → stands out,890
立,"stand up, rise",立てる,たてる,"stand (sth) up, set (sth) up, establish",direct,,891
立,"stand up, rise",役に立つ,やくにたつ,"be useful, be helpful",figurative,role + stand → fulfills its role → useful,892
立,"stand up, rise",対立,たいりつ,"opposition, antagonism",direct,,1037
立,"stand up, rise",組み立てる,くみたてる,"put together, assemble, construct",direct,,1167
立,"stand up, rise",立派,りっぱ,"fine, excellent",figurative,"stand + sect/school → doesn't map cleanly → splendid, fine (idiomatic)",1217
座,"squat, seat",座る,すわる,"sit, sit down",direct,,236
次,"next, order",次,つぎ,next,direct,,237
次,"next, order",次男,じなん,second son,direct,,897
次,"next, order",次女,じじょ,second daughter,direct,,898
喋,"talk, chat",喋る,しゃべる,"chat, talk",direct,,238
動,"move, motion",動く,うごく,move (が),direct,,239
動,"move, motion",動き,うごき,"movement, motion",direct,,905
動,"move, motion",運動,うんどう,"exercise, movement",direct,,906
動,"move, motion",活動,かつどう,activity,direct,,908
動,"move, motion",動物,どうぶつ,animal,direct,,909
動,"move, motion",動かす,うごかす,"move (something), operate",direct,,910
動,"move, motion",不動産屋,ふどうさんや,"real estate agent, realtor",figurative,不動 (un-moving) property + shop,911
動,"move, motion",自動車,じどうしゃ,automobile,direct,,1021
動,"move, motion",動物園,どうぶつえん,zoo,direct,,1099
働,"work, (kokuji)",働く,はたらく,to work,direct,,240
早,"early, fast",早い,はやい,early,direct,,241
早,"early, fast",早く,はやく,"early, soon",direct,,912
早,"early, fast",早口,はやくち,fast talking,direct,,913
早,"early, fast",早起き,はやおき,early rising,direct,,1324
速,"quick, fast",速い,はやい,fast,direct,,242
速,"quick, fast",速さ,はやさ,speed,direct,,914
速,"quick, fast",速達,そくたつ,express mail,direct,,915
遅,"slow, late",遅い,おそい,"slow, late",direct,,243
遅,"slow, late",遅れる,おくれる,be late,direct,,916
遅,"slow, late",遅刻,ちこく,"tardiness, lateness",figurative,late + carve/engrave → 刻 refers to carved time-markers on old clocks → tardiness,1371
始,"commence, begin",始める,はじめる,"begin, start を",direct,,244
始,"commence, begin",始まる,はじまる,begin が,direct,,245
始,"commence, begin",開始,かいし,beginning,direct,,917
始,"commence, begin",始めに,はじめに,in the beginning,direct,,918
終,"end, finish",終わる,おわる,"finish, end",direct,,246
終,"end, finish",終わり,おわり,"end, conclusion",direct,,247
去,"gone, past",去年,きょねん,last year,direct,,248
去,"gone, past",過去,かこ,the past,direct,,929
紙,paper,紙,かみ,paper,direct,,249
紙,paper,手紙,てがみ,letter,figurative,"hand + paper → originally ""toilet paper"" in Chinese, shifted meaning in Japanese → letter",943
楽,"music, comfort",楽しむ,たのしむ,enjoy,direct,,250
楽,"music, comfort",楽しい,たのしい,"fun, enjoyable",direct,,251
楽,"music, comfort",音楽,おんがく,music,direct,,949
歌,"song, sing",歌う,うたう,sing,direct,,252
歌,"song, sing",歌,うた,song,direct,,951
歌,"song, sing",歌手,かしゅ,singer,direct,,953
欲,"longing, covetousness",欲しい,ほしい,"want, desire",direct,,253
欲,"longing, covetousness",欲しがる,ほしがる,want&nbsp;(describing sb else),direct,,954
色,color,色,いろ,color,direct,,254
色,color,茶色,ちゃいろ,light brown,direct,,255
色,color,黄色い,きいろい,yellow,direct,,318
色,color,色々,いろいろ,various,direct,,968
色,color,景色,けしき,"scene, landscape",direct,,1257
色,color,黄色,きいろ,yellow,direct,,1293
色,color,緑色,みどりいろ,green,direct,,1306
色,color,灰色,はいいろ,"ash color, gray",direct,,1599
茶,tea,茶色,ちゃいろ,light brown,direct,,255
茶,tea,お茶,おちゃ,tea (polite),direct,,633
茶,tea,茶わん,ちゃわん,"rice bowl, tea cup",direct,,634
茶,tea,喫茶店,きっさてん,"coffee shop, tea house, café",direct,,1585
茶,tea,紅茶,こうちゃ,black tea,direct,,1726
茶,tea,茶,ちゃ,tea (plain form),direct,,1845
直,"straightaway, honesty",書き直す,かきなおす,rewrite,direct,,257
直,"straightaway, honesty",直る,なおる,"be repaired, return to normal",direct,,258
直,"straightaway, honesty",直す,なおす,"repair, cure, alter",direct,,974
直,"straightaway, honesty",真っ直ぐ,まっすぐ,"dead straight, honestly",direct,,975
直,"straightaway, honesty",直接,ちょくせつ,directly,direct,,976
直,"straightaway, honesty",正直,しょうじき,"honest, upright",direct,,1121
線,"line, track",線,せん,"line, route (trainなど)",direct,,259
線,"line, track",新幹線,しんかんせん,"Shinkansen, Bullet Train",direct,,1459
曲,"bend, music",曲がる,まがる,turn,direct,,260
曲,"bend, music",曲,きょく,"song, melody, tune",direct,,983
曲,"bend, music",曲げる,まげる,"bend, curve",direct,,984
曲,"bend, music",曲がり角,まがりかど,street corner,direct,,985
同,"same, agree",同じ,おなじ,"same, identical",direct,,261
同,"same, agree",同様,どうよう,"similar, same",direct,,986
違,"difference, differ",違う,ちがう,"differ, be wrong",direct,,262
違,"difference, differ",間違い,まちがい,"mistake, error",direct,,987
違,"difference, differ",間違える,まちがえる,"make a mistake (in something), confuse (を)",direct,,988
違,"difference, differ",間違う,まちがう,"be mistaken, be incorrect",direct,,989
図,"map, drawing",図書館,としょかん,library,direct,,263
図,"map, drawing",地図,ちず,"map, atlas",direct,,581
図,"map, drawing",図書室,としょしつ,library room,direct,,1002
館,"building, mansion",図書館,としょかん,library,direct,,263
館,"building, mansion",大使館,たいしかん,embassy,direct,,994
館,"building, mansion",旅館,りょかん,Japanese inn,direct,,995
館,"building, mansion",映画館,えいがかん,movie theater,direct,,996
館,"building, mansion",美術館,びじゅつかん,art museum,direct,,1505
館,"building, mansion",博物館,はくぶつかん,museum,direct,,1509
泊,"overnight stay, put up at",泊まる,とまる,stay overnight,direct,,264
泊,"overnight stay, put up at",泊める,とめる,"lodge, give shelter",direct,,998
遊,play,遊ぶ,あそぶ,"have a good time, play",direct,,265
遊,play,遊び,あそび,"play, amusement",direct,,999
服,"clothing, admit",服,ふく,clothes,direct,,267
服,"clothing, admit",洋服,ようふく,clothes,direct,,1000
父,father,お父さん,おとうさん,father,direct,,268
父,father,父,ちち,(speaker's)father,direct,,269
父,father,お祖父さん,おじいさん,grandfather,direct,,1714
父,father,祖父,そふ,grandfather,direct,,1717
母,mother,お母さん,おかあさん,mother,direct,,270
母,mother,母,はは,(speaker's) mother,direct,,271
母,mother,お祖母さん,おばあさん,grandmother,direct,,1715
母,mother,祖母,そぼ,grandmother,direct,,1718
親,"parent, intimacy",親,おや,parent,direct,,272
親,"parent, intimacy",親しい,したしい,"intimate, close",direct,,1004
